Marca;Expendeduría Euros/Cajetilla;Con Recargo Euros/Cajetilla
187 #S04 Quelle (200 g);17,5;20,1
187 #S04 Quelle (50 g);4,55;5,25
187 040 (200 g);17,5;20,1
187 040 (50 g);4,55;5,25
187 Beach Vibez (200 g);17,5;20,1
187 Beach Vibez (50 g);4,55;5,25
187 Blue Devil (200 g);17,5;20,1
187 Blue Devil (50 g);4,55;5,25
187 Dd Music (200 g);17,5;20,1
187 Dd Music (50 g);4,55;5,25
187 Ello&Raffa (200 g);17,5;20,1
187 Ello&Raffa (50 g);4,55;5,25
187 Happy Caztuz (200 g);17,5;20,1
187 Happy Caztuz (50 g);4,55;5,25
187 Holy Tropical (200 g);17,5;20,1
187 Holy Tropical (50 g);4,55;5,25
187 I Love Hamburg (200 g);17,5;20,1
187 I Love Hamburg (50 g);4,55;5,25
187 Iscrea Pistoco (200 g);17,5;20,1
187 Iscrea Pistoco (50 g);4,55;5,25
187 Jucy Puzzy (200 g);17,5;20,1
187 Jucy Puzzy (50 g);4,55;5,25
187 Kool Bitch (200 g);17,5;20,1
187 Kool Bitch (50 g);4,55;5,25
187 Kool Wave (200 g);17,5;20,1
187 Kool Wave (50 g);4,55;5,25
187 Mama Canny (200 g);17,5;20,1
187 Mama Canny (50 g);4,55;5,25
187 Mts Greens (200 g);17,5;20,1
187 Mts Greens (50 g);4,55;5,25
187 New Flash (200 g);17,5;20,1
187 New Flash (50 g);4,55;5,25
187 Pink Mellow (200 g);17,5;20,1
187 Pink Mellow (50 g);4,55;5,25
187 Purple Drank (200 g);17,5;20,1
187 Purple Drank (50 g);4,55;5,25
187 Red Light District (200 g);17,5;20,1
187 Red Light District (50 g);4,55;5,25
187 Skittlez (200 g);17,5;20,1
187 Skittlez (50 g);4,55;5,25
187 Sparkling Izet (200 g);17,5;20,1
187 Sparkling Izet (50 g);4,55;5,25
187 Sparkling Peaz (200 g);17,5;20,1
187 Sparkling Peaz (50 g);4,55;5,25
187 Sweem Cactus (200 g);17,5;20,1
187 Sweem Cactus (50 g);4,55;5,25
187 Wallynelom (200 g);17,5;20,1
187 Wallynelom (50 g);4,55;5,25
187 Women To Go (200 g);17,5;20,1
