Marca;Expendeduría Euros/Cajetilla;Con Recargo Euros/Cajetilla
187 #S04 Quelle (200 g);14,95;17,2
187 #S04 Quelle (50 g);4;4,6
187 040 (200 g);14,95;17,2
187 040 (50 g);4;4,6
187 Beach Vibez (200 g);14,95;17,2
187 Beach Vibez (50 g);4;4,6
187 Blue Devil (200 g);14,95;17,2
187 Blue Devil (50 g);4;4,6
187 Dd Music (200 g);14,95;17,2
187 Dd Music (50 g);4;4,6
187 Ello&Raffa (200 g);14,95;17,2
187 Ello&Raffa (50 g);4;4,6
187 Happy Caztuz (200 g);14,95;17,2
187 Happy Caztuz (50 g);4;4,6
187 Holy Tropical (200 g);14,95;17,2
187 Holy Tropical (50 g);4;4,6
187 I Love Hamburg (200 g);14,95;17,2
187 I Love Hamburg (50 g);4;4,6
187 Iscrea Pistoco (200 g);14,95;17,2
187 Iscrea Pistoco (50 g);4;4,6
187 Jucy Puzzy (200 g);14,95;17,2
187 Jucy Puzzy (50 g);4;4,6
187 Kool Bitch (200 g);14,95;17,2
187 Kool Bitch (50 g);4;4,6
187 Kool Wave (200 g);14,95;17,2
187 Kool Wave (50 g);4;4,6
187 Mama Canny (200 g);14,95;17,2
187 Mama Canny (50 g);4;4,6
187 Mts Greens (200 g);14,95;17,2
187 Mts Greens (50 g);4;4,6
187 New Flash (200 g);14,95;17,2
187 New Flash (50 g);4;4,6
187 Pink Mellow (200 g);14,95;17,2
187 Pink Mellow (50 g);4;4,6
187 Purple Drank (200 g);14,95;17,2
187 Purple Drank (50 g);4;4,6
187 Red Light District (200 g);14,95;17,2
187 Red Light District (50 g);4;4,6
187 Skittlez (200 g);14,95;17,2
187 Skittlez (50 g);4;4,6
187 Sparkling Izet (200 g);14,95;17,2
187 Sparkling Izet (50 g);4;4,6
187 Sparkling Peaz (200 g);14,95;17,2
187 Sparkling Peaz (50 g);4;4,6
187 Sweem Cactus (200 g);14,95;17,2
187 Sweem Cactus (50 g);4;4,6
187 Wallynelom (200 g);14,95;17,2
187 Wallynelom (50 g);4;4,6
187 Women To Go (200 g);14,95;17,2
187 Women To Go (50 g);4;4,6
187 Zafari (200 g);14,95;17,2
187 Zafari (50 g);4;4,6
A.S. Absolutely Special Blue Bolsa 40 g (40 g);1,9;2,2
A.S. Absolutely Special Virginia Bolsa 200 g (200 g);8,9;10,25
A.S. Absolutely Special Virginia Bolsa 40 g (40 g);1,9;2,2
Absolutely Special As Life's A Gamble Bolsa (125g);5,3;6,1
Absolutely Special As Life's A Gamble Bolsa (200 g);8,5;9,8
Absolutely Special As Life's A Gamble Lata (90 g);4;4,6
Adalya Adalya Power (50 g);3,3;3,8
